actor_id,actor_name,rank,Label
719,艾文·布莱纳,10,actor
720,亚当·桑德勒,10,actor
721,吴刚,10,actor
722,姚晨,10,actor
723,福里斯特·惠特克,10,actor
724,邵美琪,10,actor
725,中井和哉,10,actor
726,托比·凯贝尔,10,actor
727,鲍勃·霍斯金斯,10,actor
728,林海峰,10,actor
729,郑丹瑞,10,actor
730,黄日华,10,actor
731,泰迪·罗宾,10,actor
732,徐子珊,10,actor
733,林子祥,10,actor
734,浅野忠信,10,actor
735,李美琪,10,actor
736,乔什·加德,10,actor
737,高飞,10,actor
738,井柏然,10,actor
739,王天林,10,actor
740,应采儿,10,actor
741,保罗·路德,10,actor
742,张晋,10,actor
743,朱迪·格雷尔,10,actor
744,本·福斯特,10,actor
745,鹿峰,10,actor
746,泰瑞·克鲁斯,10,actor
747,谢娜,10,actor
748,扎克·埃夫隆,10,actor
749,徐静蕾,10,actor
750,景甜,10,actor
751,黎姿,10,actor
752,周文健,10,actor
753,刘江,10,actor
754,米拉·乔沃维奇,10,actor
755,李嘉欣,10,actor
756,刘家良,10,actor
757,梅布尔·诺曼德,10,actor
758,徐熙媛,10,actor
759,科鲁姆·费奥瑞,10,actor
760,蒂姆·罗宾斯,9,actor
761,克兰西·布朗,9,actor
762,邦尼·亨特,9,actor
763,艾伦·艾克哈特,9,actor
764,肖恩·宾,9,actor
765,马尔顿·索克斯,9,actor
766,克里斯托弗·普卢默,9,actor
767,伊丽莎白·班克斯,9,actor
768,苗圃,9,actor
769,冯小刚,9,actor
770,白冰,9,actor
771,马修·布罗德里克,9,actor
772,郎雄,9,actor
773,罗素·克劳,9,actor
774,布莱丝·达拉斯·霍华德,9,actor
775,吉奥瓦尼·瑞比西,9,actor
776,杰克·尼科尔森,9,actor
777,多姆纳尔·格里森,9,actor
778,乌玛·瑟曼,9,actor
779,李兆基,9,actor
780,乔纳森·普雷斯,9,actor
781,陈辉虹,9,actor
782,吉行和子,9,actor
783,渡边哲,9,actor
784,T·J·米勒,9,actor
785,加濑亮,9,actor
786,张同祖,9,actor
787,埃莱娜·卡多纳,9,actor
788,克里斯托夫·梅兹-普莱瑟,9,actor
789,理查德·E·格兰特,9,actor
790,弗兰克·奥兹,9,actor
791,比利·克鲁德普,9,actor
792,吉娜·马隆,9,actor
793,千秋实,9,actor
794,凯文·迈克尔·理查德森,9,actor
795,华金·菲尼克斯,9,actor
796,田丰,9,actor
797,迈克·克拉克·邓肯,9,actor
798,高良健吾,9,actor
799,林美秀,9,actor
800,连凯,9,actor
801,威廉·赫特,9,actor
802,托尼·夏尔赫布,9,actor
803,海莉·斯坦菲尔德,9,actor
804,保罗·达诺,9,actor
805,露丝·霍洛克斯,9,actor
806,魏翔,9,actor
807,李昆,9,actor
808,野峰,9,actor
809,托比·马奎尔,9,actor
810,玛丽莎·托梅,9,actor
811,康妮·尼尔森,9,actor
812,科林·萨蒙,9,actor
813,尼克·奥弗曼,9,actor
814,山中崇,9,actor
815,鲁妮·玛拉,9,actor
816,黄正利,9,actor
817,陈道明,9,actor
818,祖峰,9,actor
819,杜江,9,actor
820,岑建勋,9,actor
821,关智一,9,actor
822,扎克·加利凡纳基斯,9,actor
823,钟发,9,actor
824,娜奥米·哈里斯,9,actor
825,樱井孝宏,9,actor
826,戴夫·巴蒂斯塔,9,actor
827,桥爪功,9,actor
828,麦茜·威廉姆斯,9,actor
